Name,Intake date,Water date,Planted date,Sprouted date,Departure date,Outcome,Owner,Given on ,Notes,,,,,
Honey Locust 2,9/24/2023,,9/24/2023,,9/28/2023,Moisture shock,,,Transplanted from AirBnB front yard,,,,,
Honey Locust 3,9/29/2023,,9/29/2023,,10/13/2023,Moisture shock,,,Transplanted from AirBnB front yard,,,,,
Honey Locust 4,9/30/2023,,9/30/2023,,10/28/2023,Transplant shock ,,,Transplanted from AirBnB front yard,,,,,
Honey Locust 5,9/29/2023,,9/29/2023,10/11/2023,10/13/2023,Moisture shock,,,Came from seed in soil from AirBnB yard,,,,,
Honey Locust 6,9/29/2023,,9/29/2023,10/16/2023,12/31/2023,Cold shock,,,Cut in half when rubber band snapped during seran wrapping ,,,,,
Honey Locust 7,9/29/2023,,9/29/2023,10/26/2023,,Sprouted,,,,,,,,
Honey Locust 8,9/29/2023,,9/29/2023,10/26/2023,,Sprouted,,,,,,,,
Honey Locust 9,9/29/2023,,9/29/2023,10/27/2023,11/28/2023,Dried out,,,(not sure - maybe soil was poisoned by other honeylocusts?).  Plant appeared dried out but the soil was not dry and honeylocust13 was doing just fine,,,,,
Honey Locust 10,9/29/2023,,9/29/2023,10/28/2023,,Sprouted,,,,,,,,
Honey Locust 11,9/29/2023,,9/29/2023,10/28/2023,,Sprouted,,,,,,,,
Honey Locust 12,9/29/2023,,9/29/2023,10/28/2023,,Sprouted,,,,,,,,
Honey Locust 13,9/29/2023,,9/29/2023,11/4/2023,,Sprouted,,,Popped up in Honey Locust 9's cup,,,,,
Honey Locust 14,9/29/2023,,9/29/2023,11/3/2023,12/5/2023,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 16,9/29/2023,,9/29/2023,11/22/2023,11/30/2023,Discarded,,,Popped up in honeytangerine3's tub,,,,,
Honey Locust 17,9/29/2023,,9/29/2023,11/24/2023,12/2/2023,Discarded,,,Popped up in Honey Locust 9's cup,,,,,
Honey Locust 18,9/29/2023,,9/29/2023,12/1/2023,12/2/2023,Discarded,,,Popped up in Honey Locust 9's cup,,,,,
Honey Locust 19,9/29/2023,,9/29/2023,12/1/2023,12/5/2023,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 20,9/29/2023,,9/29/2023,11/28/2023,12/5/2023,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 21,9/29/2023,,9/29/2023,11/28/2023,12/5/2023,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 22,9/29/2023,,9/29/2023,12/15/2023,12/15/2023,Discarded,,,Popped up in grapefruit 6's tub,,,,,
Honey Locust 23,9/29/2023,,9/29/2023,12/10/2023,12/17/2023,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 24,9/29/2023,,9/29/2023,12/15/2023,12/17/2023,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 25,9/30/2023,,9/30/2023,12/19/2023,12/22/2023,Discarded,,,Popped up in HoneyLocust 13's cup,,,,,
Honey Locust 26,9/30/2023,,9/30/2023,12/22/2023,12/22/2023,Discarded,,,Popped up in HoneyLocust 13's cup,,,,,
Honey Locust 27,9/30/2023,,9/30/2023,12/19/2023,12/22/2023,Discarded,,,Popped up in HoneyLocust 6's tub,,,,,
Honey Locust 28,9/30/2023,,9/30/2023,12/19/2023,12/22/2023,Discarded,,,Popped up in HoneyLocust 13's cup,,,,,
Honey Locust 29,9/30/2023,,9/30/2023,12/19/2023,12/22/2023,Discarded,,,Popped up in HoneyLocust 13's cup,,,,,
Honey Locust 30,9/30/2023,,9/30/2023,12/19/2023,12/22/2023,Discarded,,,Popped up in HoneyLocust 13's cup,,,,,
Honey Locust 31,9/29/2023,,9/29/2023,12/26/2023,,Sprouted,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 32,9/29/2023,,9/29/2023,12/29/2023,12/31/2023,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 33,9/29/2023,,9/29/2023,1/3/2024,1/5/2024,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Honey Locust 34,9/29/2023,,9/29/2023,1/3/2024,1/5/2024,Discarded,,,POpped up in Honey Locust 6's tub,,,,,
Rosemary 2,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 3,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 4,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 5,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 6,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 7,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 8,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 9,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 10,11/7/2023,,11/7/2023,12/3/2023,12/11/2023,Dried out,,,,,,,,
Rosemary 11,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 12,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 13,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 14,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 15,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 16,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 17,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 18,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 19,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 20,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 21,11/7/2023,,11/7/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 1,4/25/2023,,4/25/2023,4/25/2023,5/2/2023,Stolen,,,,,,,,
Rosemary 22,11/7/2023,,11/14/2023,,12/10/2023,Dormant,,,,,,,,
Rosemary 23,1/2/2024,1/2/2024,,,1/9/2024,Rotted,,,"Cutting from HEB, sitting in new mexico glass square jar",,,,,
Rosemary 24,1/2/2024,1/2/2024,,,1/9/2024,Rotted,,,"Cutting from HEB, sitting in new mexico glass square jar",,,,,
Ash 1,11/19/2023,,12/2/2023,,2/11/2024,Germinating,,,,,,,,
Ash 2,11/19/2023,,,,,Germinating,,,,,,,,
Ash 3,11/19/2023,,,,,Germinating,,,,,,,,
Ash 4,11/19/2023,,,,,Germinating,,,,,,,,
Ash 5,11/19/2023,,,,,Germinating,,,,,,,,
Ash 6,11/19/2023,,,,,Germinating,,,,,,,,
Ash 7,11/19/2023,,,,,Germinating,,,,,,,,
Ash 8,11/19/2023,,,,,Germinating,,,,,,,,
Ash 9,11/19/2023,,,,,Germinating,,,,,,,,
Ash 10,11/19/2023,,,,,Germinating,,,,,,,,
Ash 11,11/19/2023,,,,,Germinating,,,,,,,,
Ash 12,11/19/2023,,,,,Germinating,,,,,,,,
Ash 13,11/19/2023,,,,,Germinating,,,,,,,,
Ash 14,11/19/2023,,,,,Germinating,,,,,,,,
Ash 15,11/19/2023,,,,,Germinating,,,,,,,,
Ash 16,11/19/2023,,,,,Germinating,,,,,,,,
Ash 17,11/19/2023,,,,,Germinating,,,,,,,,
Ash 18,11/19/2023,,,,,Germinating,,,,,,,,
Ash 19,11/19/2023,,,,,Germinating,,,,,,,,
Ash 20,11/19/2023,,,,,Germinating,,,,,,,,
Ash 21,11/19/2023,,,,,Germinating,,,,,,,,
Orchid 1,11/17/2023,,11/17/2023,,2/6/2024,Rotted,,,,,,,,
Orchid 2,11/17/2023,,11/17/2023,,,Sprouted,,,,,,,,
Persimmon 8,11/25/2023,,12/3/2023,,,Germinating,,,"Collected from Fienup Farms Lake Park.  Seeds already getting thicker and darker after 1.5 weeks, so planted in soil",,,,,
Persimmon 9,11/25/2023,,12/3/2023,,2/4/2024,Unsure,,,"Collected from Fienup Farms Lake Park.  Seeds already getting thicker and darker after 1.5 weeks, so planted in soil",,,,,
Persimmon 10,11/25/2023,,12/3/2023,,,Germinating,,,"Collected from Fienup Farms Lake Park.  Seeds already getting thicker and darker after 1.5 weeks, so planted in soil",,,,,
Persimmon 11,11/25/2023,,12/3/2023,,2/11/2024,Unsure,,,"Collected from Fienup Farms Lake Park.  Seeds already getting thicker and darker after 1.5 weeks, so planted in soil",,,,,
Persimmon 12,11/25/2023,,12/3/2023,2/9/2024,,Sprouted,,,"Collected from Fienup Farms Lake Park.  Seeds already getting thicker and darker after 1.5 weeks, so planted in soil",,,,,
Tejocote 1,11/8/2023,,,,12/5/2023,Rotted,,,,,,,,
Tejocote 2,11/8/2023,,12/5/2023,,2/4/2024,Dormant,,,,,,,,
Tejocote 3,11/8/2023,,12/5/2023,,2/4/2024,Dormant,,,,,,,,
Tejocote 4,11/8/2023,,12/5/2023,,2/4/2024,Dormant,,,,,,,,
Tejocote 5,11/8/2023,,12/5/2023,,2/4/2024,Dormant,,,,,,,,
Tejocote 6,11/8/2023,,12/5/2023,,2/4/2024,Dormant,,,,,,,,
Tejocote 7,11/8/2023,,1/4/2024,,2/11/2024,Discarded,,,,,,,,
Tejocote 8,11/8/2023,,,,2/4/2024,Discarded,,,,,,,,
Tejocote 9,11/8/2023,,,,12/12/2023,Dried out,,,,,,,,
Potato 1,12/18/2023,12/18/2023,,1/23/2024,,Sprouted,,,Sprouted while sitting on countertop,,,,,
Sabal Palm 1,10/14/2023,,12/21/2023,12/31/2023,,Sprouted,,,germinated in bag on 11/6/2023,,,,,
Sabal Palm 2,10/14/2023,,12/21/2023,1/2/2024,,Sprouted,,,germinated in bag on  11/6/2023,,,,,
Sabal Palm 3,10/14/2023,,,,1/13/2024,Discarded,,,germinated in bag on  11/8/2023,,,,,
Sabal Palm 4,10/14/2023,,12/21/2023,,1/13/2024,Rotted,,,germinated in bag on  11/8/2023,,,,,
Sabal Palm 5,10/14/2023,,,,1/13/2024,Discarded,,,germinated in bag on  11/9/2023,,,,,
Sabal Palm 6,10/14/2023,,12/21/2023,1/15/2024,,Sprouted,,,germinated in bag on  11/9/2023,,,,,
Sabal Palm 7,10/14/2023,,,,1/13/2024,Discarded,,,germinated in bag on  11/10/2023,,,,,
Sabal Palm 8,10/14/2023,,,,12/1/2023,Dormant,,,,,,,,
Beet 1,12/20/2023,,,12/20/2023,,Sprouted,,,,,,,,
Beet 2,12/23/2023,,,12/27/2023,,Sprouted,,,,,,,,
Coconut 1,12/31/2023,12/31/2023,,,1/28/2024,Rotted,,,"Shell broke ~1/14/24, i believe it started to rot after something got in.  Smelled like rancid cottage cheese when i cut it open",,,,,
Basil 2,1/9/2024,1/9/2024,2/4/2024,2/4/2024,,Sprouted,,,,,,,,
Banana 1,1/28/2024,,,1/28/2024,,Sprouted,,,"Bought from The Great Outdoors in 4"" cup",,,,,
Pecan 1,10/14/2023,,2/4/2024,2/10/2024,,Sprouted,,,,,,,,
Evergreen Sumac 1,12/17/2023,,2/4/2024,,2/9/2024,Disappeared from the soil,,,,,,,,
Evergreen Sumac 2,12/17/2023,,2/4/2024,2/6/2024,,Sprouted,,,,,,,,
Evergreen Sumac 3,12/17/2023,,2/11/2024,2/15/2024,,Sprouted,,,,,,,,
Evergreen Sumac 4,12/17/2023,,2/11/2024,,,Germinating --> Sprouting,,,,,,,,
Evergreen Sumac 5,12/17/2023,,2/11/2024,,,Germinating --> Sprouting,,,,,,,,
Evergreen Sumac 6,12/17/2023,,,,2/11/2024,Discarded,,,,,,,,
Bay Laurel 1,2/4/2024,2/4/2024,,,,Dormant,,,Cutting,,,,,
Bay Laurel 2,2/4/2024,2/4/2024,,,,Dormant,,,Cutting,,,,,
Thyme 1,2/4/2024,2/4/2024,,,2/8/2024,Rotted,,,,,,,,
Thyme 2,2/4/2024,2/4/2024,,,2/10/2024,Rotted,,,,,,,,
Thyme 3,2/4/2024,2/4/2024,,,2/14/2024,Rotted,,,,,,,,
Pecan 2,10/14/2023,,2/7/2024,2/19/2024,,Sprouted,,,,,,,,
Pecan 3,10/14/2023,,2/11/2024,2/24/2024,,Sprouted,,,,,,,,
Pecan 4,10/14/2023,,2/11/2024,2/19/2024,,Sprouted,,,,,,,,
Pecan 5,10/14/2023,,2/11/2024,2/22/2024,,Sprouted,,,,,,,,
Magnolia 17,9/28/2023,,2/4/2024,,,Germinating --> Sprouting,,,In sabal Palm 4's cup,,,,,
Magnolia 18,9/28/2023,,1/22/2024,2/16/2024,,Sprouted,,,In Rosemary 22's cup,,,,,
Magnolia 19,9/28/2023,,2/25/2024,2/26/2024,,Sprouted,,,IN magnolia 4's cup,,,,,
Dragonfruit 1,2/4/2024,,2/21/2024,,,Germinating,,,,,,,,
Dragonfruit 2,2/4/2024,,2/27/2024,,,Germinating,,,,,,,,
Starfruit 1,2/1/2024,,2/21/2024,,,Germinating,,,,,,,,
Starfruit 2,2/1/2024,,,,,Germinating,,,,,,,,
Starfruit 3,2/1/2024,,,,,Germinating,,,,,,,,
Starfruit 4,2/3/2024,,,,,Germinating,,,,,,,,
Starfruit 5,2/3/2024,,,,,Germinating,,,,,,,,
Passion Fruit,2/11/2024,,,,,Germinating,,,,,,,,
